population size, mean iq. First line is reserved for dominating population.
4883153,100
532,71
569,83.5
574,98.9
594,91.7
662,95
710,72
733,78
770,64
789,93.2
838,73
840,62
865,98.45
893,73
895,77.5
935,84.2
941,95.3
951,83.1
953,98.9
956,71.6
968,92
983,87.8
1056,85.8
1075,81
1111,92
1122,104.6
1143,92.8
1176,99.3
1206,74.5
1232,68
1260,96.6
1336,98
1338,85.4
1350,84.2
1406,71.2
1434,94.4
1441,94.6
1459,99.7
1459,94.9
1478,88.1666666666667
1520,89.8
1543,71.7
1573,99
1576,100.2
1578,104.2
1593,68.5
1817,93.2
1965,78
1973,85.6
2027,99.2
2057,92.3333333333333
2111,86.7
2154,85
2185,69.7
2188,82.7
2425,100.4
2789,85.6
3697,100.9
3878,98.1
4267,90.5
4484,95.9
4709,96.6
5557,93.3
5669,96.1
5903,98.1
6018,96.6
6354,82
6919,100.4
7247,94.3
7647,82.2
8411,98.6
8923,97.5
9203,94.3
10325,82.4
10535,105.8
10685,86.1
10739,89.9
11232,79
13968,99.1
14433,91
14565,94
15066,98.6
15218,75
16120,92.3333333333333
16282,97
16965,85.6
17839,71.8
22186,84
22446,93.2
24773,82
30279,87
31530,99
34556,92
60865,88.5
